irn,identifier,title,title_length,number_of_images,media_irn,media_title,media_type,contentUrl,thumbnailUrl,rights_title,width,height,description,cleanDescription,observedDimension,creator,createdDate,createdPlace,lat,long,productionUsedTechnique,isMadeOfSummary,isMadeOf,isTypeOf,influencedBy,depicts,refersTo,creditLine,qualityScore,CO_url,CO_url_text
1414797,RB000001,A grammar and vocabulary of the language of New Zealand,55,,243562,TMP011983; A Grammar and Vocabulary of the Language of New Zealand; 1820; Church Missionary Society ; view 1; without frame,ImageObject,https://media.tepapa.govt.nz/collection/243562/full,https://media.tepapa.govt.nz/collection/243562/thumb,No Known Copyright Restrictions,3339,5939,,,"Open: 229mm (width), 192mm (height)","Church Missionary Society (publisher), Professor Samuel Lee (compiler)",1820,"London, England",51.5,-0.167,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,6.0,https://collections.tepapa.govt.nz/object/1414797,Te Papa Collections Online
1414797,RB000001,A grammar and vocabulary of the language of New Zealand,55,,243560,TMP011983; A Grammar and Vocabulary of the Language of New Zealand; 1820; Church Missionary Society ; without frame,ImageObject,https://media.tepapa.govt.nz/collection/243560/full,https://media.tepapa.govt.nz/collection/243560/thumb,No Known Copyright Restrictions,3627,6248,,,"Open: 229mm (width), 192mm (height)","Church Missionary Society (publisher), Professor Samuel Lee (compiler)",1820,"London, England",51.5,-0.167,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,6.0,https://collections.tepapa.govt.nz/object/1414797,Te Papa Collections Online
1414797,RB000001,A grammar and vocabulary of the language of New Zealand,55,,243561,TMP011983; A Grammar and Vocabulary of the Language of New Zealand; 1820; Church Missionary Society ; without frame,ImageObject,https://media.tepapa.govt.nz/collection/243561/full,https://media.tepapa.govt.nz/collection/243561/thumb,No Known Copyright Restrictions,3432,6076,,,"Open: 229mm (width), 192mm (height)","Church Missionary Society (publisher), Professor Samuel Lee (compiler)",1820,"London, England",51.5,-0.167,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,6.0,https://collections.tepapa.govt.nz/object/1414797,Te Papa Collections Online
1416852,RB000031,"Voyage autour du monde, entrepris par ordre du gouvernement sur la corvette la Coquille, Volume 2",97,,243580,"TMP012411; Voyage Autour de Monde sur la Corvette Coquille ....  Volume 2.; 1839; Lesson, Rene ; without frame",ImageObject,https://media.tepapa.govt.nz/collection/243580/full,https://media.tepapa.govt.nz/collection/243580/thumb,No Known Copyright Restrictions,3948,6299,,,"Open: 340mm (width), 240mm (height), Closed: 160mm (width), 240mm (height)",René Lesson (author),1839,France,46.0,2.0,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,5.6666665,https://collections.tepapa.govt.nz/object/1416852,Te Papa Collections Online
1416852,RB000031,"Voyage autour du monde, entrepris par ordre du gouvernement sur la corvette la Coquille, Volume 2",97,,243581,"TMP012411; Voyage Autour de Monde sur la Corvette Coquille ....  Volume 2.; 1839; Lesson, Rene ; without frame",ImageObject,https://media.tepapa.govt.nz/collection/243581/full,https://media.tepapa.govt.nz/collection/243581/thumb,No Known Copyright Restrictions,3786,6072,,,"Open: 340mm (width), 240mm (height), Closed: 160mm (width), 240mm (height)",René Lesson (author),1839,France,46.0,2.0,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,5.6666665,https://collections.tepapa.govt.nz/object/1416852,Te Papa Collections Online
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,,357957,"RB000121; Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, ; vie",ImageObject,https://media.tepapa.govt.nz/collection/357957/full,https://media.tepapa.govt.nz/collection/357957/thumb,No Known Copyright Restrictions,4480,6818,,,,"Christie, Manson & Woods (publisher)",1885,,,,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,5.1666665,https://collections.tepapa.govt.nz/object/1416942,Te Papa Collections Online
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,,357958,"RB000121; Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, ; vie",ImageObject,https://media.tepapa.govt.nz/collection/357958/full,https://media.tepapa.govt.nz/collection/357958/thumb,No Known Copyright Restrictions,4509,6840,,,,"Christie, Manson & Woods (publisher)",1885,,,,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,5.1666665,https://collections.tepapa.govt.nz/object/1416942,Te Papa Collections Online
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,,357967,"RB000121; Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, ; vie",ImageObject,https://media.tepapa.govt.nz/collection/357967/full,https://media.tepapa.govt.nz/collection/357967/thumb,No Known Copyright Restrictions,4508,6867,,,,"Christie, Manson & Woods (publisher)",1885,,,,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,5.1666665,https://collections.tepapa.govt.nz/object/1416942,Te Papa Collections Online
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,,357968,"RB000121; Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, ; vie",ImageObject,https://media.tepapa.govt.nz/collection/357968/full,https://media.tepapa.govt.nz/collection/357968/thumb,No Known Copyright Restrictions,4509,6840,,,,"Christie, Manson & Woods (publisher)",1885,,,,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,5.1666665,https://collections.tepapa.govt.nz/object/1416942,Te Papa Collections Online
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",272,,357969,"RB000121; Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, ; vie",ImageObject,https://media.tepapa.govt.nz/collection/357969/full,https://media.tepapa.govt.nz/collection/357969/thumb,No Known Copyright Restrictions,4508,6851,,,,"Christie, Manson & Woods (publisher)",1885,,,,printing,leather bound book,"printing paper, ink, leather",rare books,,,,Gift of Charles Rooking Carter,5.1666665,https://collections.tepapa.govt.nz/object/1416942,Te Papa Collections Online
