record_irn,identifier,title,media_irn,width,height,license,record_include,record_complete,media_include
1414797,RB000001,A grammar and vocabulary of the language of New Zealand,243562,3339,5939,No Known Copyright Restrictions,y,,y
1414797,RB000001,A grammar and vocabulary of the language of New Zealand,243560,3627,6248,No Known Copyright Restrictions,y,,y
1414797,RB000001,A grammar and vocabulary of the language of New Zealand,243561,3432,6076,No Known Copyright Restrictions,y,,y
1416852,RB000031,"Voyage autour du monde, entrepris par ordre du gouvernement sur la corvette la Coquille, Volume 2",243580,3948,6299,No Known Copyright Restrictions,y,,y
1416852,RB000031,"Voyage autour du monde, entrepris par ordre du gouvernement sur la corvette la Coquille, Volume 2",243581,3786,6072,No Known Copyright Restrictions,y,,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357957,4480,6818,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357958,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357967,4508,6867,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357968,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357969,4508,6851,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357970,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357971,4501,6825,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357972,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357973,4394,6864,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357974,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357975,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357976,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357959,4421,6830,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357977,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357978,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357979,4445,6888,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357980,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357981,4493,6856,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357982,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357983,4541,6776,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357984,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357985,4444,6792,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357986,4508,6796,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357960,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357987,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357961,4546,6813,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357962,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357963,4485,6825,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357964,4509,6840,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357965,4443,6832,No Known Copyright Restrictions,y,y,y
1416942,RB000121,"Catalogue of the valuable library of Christopher Beckett Denison, Esq., deceased... comprising works on the fine arts, books of prints, historical and biographical works, voyages and travels, and works in general English literature ; also, a small collection of engravings",357966,4509,6840,No Known Copyright Restrictions,y,y,y
1416944,RB000123,Catalogue of the York Gate Library : Geographical and Colonial Library,349994,3276,4650,No Known Copyright Restrictions,y,y,y
1416944,RB000123,Catalogue of the York Gate Library : Geographical and Colonial Library,349993,2874,4512,No Known Copyright Restrictions,y,y,y
1417082,RB000261,Folio of Plates to Captain Cook's Voyages undertaken in the years: 1776-1777-1778-1779 and 1780,370570,6636,4956,CC BY-NC-ND 4.0,n,y,n
1417192,RB000371,Ko te Kawenata Hou o to tatou Ariki te Kai Wakaora a Ihu Karaiti : he mea wakamaori i te reo Kariki,273690,5405,7214,CC BY-NC-ND 4.0,n,y,n
1417192,RB000371,Ko te Kawenata Hou o to tatou Ariki te Kai Wakaora a Ihu Karaiti : he mea wakamaori i te reo Kariki,243568,3683,5950,CC BY-NC-ND 4.0,n,y,n
1428394,RB001072,Australian and New Zealand gazette,349999,3064,4866,No Known Copyright Restrictions,y,y,y
1466269,RB001169,Manual of the birds of New Zealand,360225,4602,6689,No Known Copyright Restrictions,n,y,n
1466269,RB001169,Manual of the birds of New Zealand,360226,4042,6495,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350551,4699,6665,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350552,4980,7200,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350553,4980,7224,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350554,4956,7200,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350555,5004,7224,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350556,4980,7200,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350557,4980,7224,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350558,4932,7200,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350559,5004,7224,No Known Copyright Restrictions,n,y,n
1466442,RB001172,Los Calendarios Mexicanos,350560,4908,7224,No Known Copyright Restrictions,n,y,n
